"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","ic","prolific_id","att_1","att_2","autonomy_1","harm_1","die_1","exploit_1","deteriorate_1","being_harmed_1","well_being_1","comp","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","workerID","hitID","assignmentId","AI_type"
"2025-01-27 07:52:34","2025-01-27 07:54:16","0","Anonymized","100","102","1","2025-01-27 07:54:16","R_53qDcjeuXBeCZTd","","","","","Anonymized","Anonymized","anonymous","EN","1","5ced41de65554b0001fc753e","2","5","59","69","32","67","32","91","67","1","1","","2","","46","5","","","","","control"
"2025-01-27 07:51:52","2025-01-27 07:54:21","0","Anonymized","100","149","1","2025-01-27 07:54:22","R_6ysyiScOaNLZbbe","","","","","Anonymized","Anonymized","anonymous","EN","1","65045b40a2dd8a23c4101be5","2","5","20","39","39","30","40","20","29","2","2","","3","","51","4","","","","","aging"
"2025-01-27 07:51:27","2025-01-27 07:54:30","0","Anonymized","100","183","1","2025-01-27 07:54:31","R_1qlLnsoannP0yfP","","","","","Anonymized","Anonymized","anonymous","EN","1","5ddae6c686c886a56450ffd9","2","5","47","50","41","51","51","50","56","1","2","","3","","57","1","","","","","aging"
"2025-01-27 07:52:33","2025-01-27 07:54:41","0","Anonymized","100","128","1","2025-01-27 07:54:42","R_1RkAqXF9f6jpEt3","","","","","Anonymized","Anonymized","anonymous","EN","1","5727d93522e522000e7a0a3c","2","5","10","10","7","30","29","80","30","3","1","","3","","53","4","","","","","mines"
"2025-01-27 07:53:42","2025-01-27 07:54:54","0","Anonymized","100","72","1","2025-01-27 07:54:54","R_7xVm7JZGceCGx7F","","","","","Anonymized","Anonymized","anonymous","EN","1","56cc78e3ccc0e20006b82a7d","2","5","100","100","100","100","50","100","50","2","1","","3","","34","2","","","","","aging"
"2025-01-27 07:52:56","2025-01-27 07:54:55","0","Anonymized","100","119","1","2025-01-27 07:54:55","R_5PZEuwGWIz7keiv","","","","","Anonymized","Anonymized","anonymous","EN","1","602b3ed14ae791260d6d12c5","2","5","50","80","50","50","70","87","75","2","1","","3","","35","3","","","","","aging"
"2025-01-27 07:53:12","2025-01-27 07:55:03","0","Anonymized","100","110","1","2025-01-27 07:55:04","R_7rIRxqse9Ldn8Mc","","","","","Anonymized","Anonymized","anonymous","EN","1","656397844d363e786bc5ed4b","2","5","50","60","60","50","80","80","80","2","1","","2","","25","4","","","","","control"
"2025-01-27 07:53:04","2025-01-27 07:55:16","0","Anonymized","100","132","1","2025-01-27 07:55:17","R_5tyDwF3Y4CEq6Mg","","","","","Anonymized","Anonymized","anonymous","EN","1","62348c41368404b2ade8312b","2","5","60","72","71","81","40","50","40","3","2","","3","","68","5","","","","","mines"
"2025-01-27 07:53:23","2025-01-27 07:55:28","0","Anonymized","100","124","1","2025-01-27 07:55:29","R_1Oe9bXMq59HHGdn","","","","","Anonymized","Anonymized","anonymous","EN","1","59014a56baa70f0001ea4c3b","2","5","58","90","75","81","66","88","73","2","1","","3","","40","4","","","","","aging"
"2025-01-27 07:53:13","2025-01-27 07:55:48","0","Anonymized","100","155","1","2025-01-27 07:55:49","R_1B6RGgckTJt9Bq9","","","","","Anonymized","Anonymized","anonymous","EN","1","5a8f7e24ae9a0b0001aa4e9c","2","5","0","20","0","80","45","75","10","1","1","","4","","32","4","","","","","control"
"2025-01-27 07:53:20","2025-01-27 07:55:59","0","Anonymized","100","158","1","2025-01-27 07:55:59","R_5abiENe7TI60QRz","","","","","Anonymized","Anonymized","anonymous","EN","1","5aa81ccd1eda41000136eaec","2","5","70","90","70","30","80","60","30","3","1","","3","","27","1","","","","","mines"
"2025-01-27 07:53:19","2025-01-27 07:56:00","0","Anonymized","100","160","1","2025-01-27 07:56:00","R_39GxOvGrMt7iS41","","","","","Anonymized","Anonymized","anonymous","EN","1","60887a654f55f863e95ca944","2","5","20","10","10","50","90","90","90","2","2","","3","","61","1","","","","","aging"
"2025-01-27 07:53:52","2025-01-27 07:56:04","0","Anonymized","100","132","1","2025-01-27 07:56:05","R_7k1z7EJ5l2FN1VT","","","","","Anonymized","Anonymized","anonymous","EN","1","60c81a232837d9f7d4a641bf","2","5","0","20","0","0","0","80","0","1","2","","3","","54","6","","","","","control"
"2025-01-27 07:53:05","2025-01-27 07:56:11","0","Anonymized","100","185","1","2025-01-27 07:56:11","R_7meMIW9A3oC6nmf","","","","","Anonymized","Anonymized","anonymous","EN","1","5fcc103fb2ab80a01f32f7ae","2","5","50","40","40","40","50","50","50","3","2","","1","","29","3","","","","","mines"
"2025-01-27 07:55:35","2025-01-27 07:56:36","0","Anonymized","100","61","1","2025-01-27 07:56:36","R_72AnHeBu8RCV4fL","","","","","Anonymized","Anonymized","anonymous","EN","1","60d11f2e1a4755b309e536d7","2","5","36","73","61","65","64","69","68","3","1","","2","","25","4","","","","","mines"
"2025-01-27 07:52:38","2025-01-27 07:56:41","0","Anonymized","100","242","1","2025-01-27 07:56:41","R_7qF49xWteOQOKir","","","","","Anonymized","Anonymized","anonymous","EN","1","571164253d47e80009635a80","2","5","90","100","85","95","90","95","80","2","2","","3","","78","3","","","","","aging"
"2025-01-27 07:54:26","2025-01-27 07:56:43","0","Anonymized","100","136","1","2025-01-27 07:56:43","R_3HnX3aEKTo7NS4D","","","","","Anonymized","Anonymized","anonymous","EN","1","5e8d4e09cb3dc612a24b3ffc","2","5","64","70","70","60","39","56","40","2","1","","6","Middle Eastern","26","5","","","","","aging"
"2025-01-27 07:54:20","2025-01-27 07:56:57","0","Anonymized","100","157","1","2025-01-27 07:56:57","R_1nr6xuhZB4tGj3a","","","","","Anonymized","Anonymized","anonymous","EN","1","5daf506a5bd1b30013605e31","2","5","70","100","80","90","70","75","85","1","2","","3","","52","2","","","","","aging"
"2025-01-27 07:54:57","2025-01-27 07:57:17","0","Anonymized","100","140","1","2025-01-27 07:57:18","R_5kNQWGoOFuWABOw","","","","","Anonymized","Anonymized","anonymous","EN","1","60f32eb8d0fa43b7850ae16b","2","5","50","30","40","80","30","70","50","1","2","","1","","40","3","","","","","control"
"2025-01-27 07:55:37","2025-01-27 07:57:20","0","Anonymized","100","102","1","2025-01-27 07:57:20","R_1pKHxmc81tAsbKS","","","","","Anonymized","Anonymized","anonymous","EN","1","6400df36b874223e35e25247","2","5","47","71","36","50","46","56","49","2","1","","3","","41","4","","","","","aging"
"2025-01-27 07:56:34","2025-01-27 07:57:49","0","Anonymized","100","75","1","2025-01-27 07:57:50","R_5tkFeCn4uEmvC4p","","","","","Anonymized","Anonymized","anonymous","EN","1","5e27868c5cbbcc0b3599574b","2","5","36","35","25","35","35","35","35","3","1","","3","","33","7","","","","","mines"
"2025-01-27 07:53:46","2025-01-27 07:57:50","0","Anonymized","100","243","1","2025-01-27 07:57:50","R_3DqX9PSMoyJf6cb","","","","","Anonymized","Anonymized","anonymous","EN","1","65fe204f412cca0170fd8f50","2","5","50","53","50","51","57","49","50","3","2","","3","","41","1","","","","","mines"
"2025-01-27 07:55:00","2025-01-27 07:58:03","0","Anonymized","100","183","1","2025-01-27 07:58:04","R_19qKDVTPoFywSOt","","","","","Anonymized","Anonymized","anonymous","EN","1","5a74d7f717ef3500016ff92a","2","5","70","80","60","70","65","80","71","1","2","","3","","34","4","","","","","control"
"2025-01-27 07:56:16","2025-01-27 07:58:11","0","Anonymized","100","115","1","2025-01-27 07:58:12","R_7PTOmBSHoo4b9vd","","","","","Anonymized","Anonymized","anonymous","EN","1","5ee3ebd469bfc40cd94f8f36","2","5","79","80","81","56","77","80","79","2","2","","3","","25","4","","","","","aging"
"2025-01-27 07:56:42","2025-01-27 07:58:20","0","Anonymized","100","97","1","2025-01-27 07:58:20","R_1mw9OUnyIyowrBd","","","","","Anonymized","Anonymized","anonymous","EN","1","6603412311cbee9e33dbf46e","2","5","15","25","0","0","90","71","75","1","1","","3","","25","4","","","","","control"
"2025-01-27 07:54:26","2025-01-27 07:58:25","0","Anonymized","100","238","1","2025-01-27 07:58:25","R_5GNOiqZkrZEURoQ","","","","","Anonymized","Anonymized","anonymous","EN","1","5a97668bdbdb470001eec921","2","5","10","10","5","0","10","9","20","3","2","","3","","51","3","","","","","mines"
"2025-01-27 07:52:54","2025-01-27 07:58:25","0","Anonymized","100","330","1","2025-01-27 07:58:25","R_5CEoc3mpEX9wxfA","","","","","Anonymized","Anonymized","anonymous","EN","1","5e552a5e45774651f60e62b3","2","5","94","100","99","98","90","100","85","1","2","","5","","27","4","","","","","control"
"2025-01-27 07:55:52","2025-01-27 07:58:28","0","Anonymized","100","156","1","2025-01-27 07:58:29","R_3Pt9SKW935ZULyV","","","","","Anonymized","Anonymized","anonymous","EN","1","606b3da5eb533db26ffbfa36","2","5","0","0","0","0","0","0","7","1","2","","1","","27","3","","","","","control"
"2025-01-27 07:56:19","2025-01-27 07:58:31","0","Anonymized","100","132","1","2025-01-27 07:58:31","R_6qqHCkYeoAy44Nz","","","","","Anonymized","Anonymized","anonymous","EN","1","6401dc189a0c39635de7ebab","2","5","60","71","53","57","65","61","50","2","1","","3","","23","3","","","","","aging"
"2025-01-27 07:56:53","2025-01-27 07:58:51","0","Anonymized","100","117","1","2025-01-27 07:58:51","R_1aeG4OQzfL3u9Qy","","","","","Anonymized","Anonymized","anonymous","EN","1","66587fc76ffbd0dff98853c6","2","5","0","0","0","100","40","4","0","2","1","","1","","29","4","","","","","aging"
"2025-01-27 07:56:33","2025-01-27 07:59:06","0","Anonymized","100","153","1","2025-01-27 07:59:08","R_7R9wg2Lr9EtYDhD","","","","","Anonymized","Anonymized","anonymous","EN","1","5c8d7f4ca5092100014b00a4","2","5","40","80","45","30","60","75","55","2","1","","3","","44","4","","","","","aging"
"2025-01-27 07:57:00","2025-01-27 07:59:26","0","Anonymized","100","146","1","2025-01-27 07:59:27","R_7JXQcEueIpfpBcd","","","","","Anonymized","Anonymized","anonymous","EN","1","5bc0929b23d6170001b92120","2","5","50","53","58","36","58","61","23","2","2","","3","","62","4","","","","","aging"
"2025-01-27 07:58:12","2025-01-27 07:59:33","0","Anonymized","100","81","1","2025-01-27 07:59:34","R_7kb44m8mLHbn6R6","","","","","Anonymized","Anonymized","anonymous","EN","1","5f80bc44efa2c013099af460","2","5","50","50","50","50","50","50","50","3","1","","3","","35","5","","","","","mines"
"2025-01-27 07:55:56","2025-01-27 07:59:40","0","Anonymized","100","223","1","2025-01-27 07:59:40","R_7U3B8j7cocMYMCQ","","","","","Anonymized","Anonymized","anonymous","EN","1","62c788d0cd6dc75c2c3a8fc7","2","5","50","80","50","50","60","60","70","3","1","","3","","76","5","","","","","mines"
"2025-01-27 07:56:19","2025-01-27 07:59:41","0","Anonymized","100","202","1","2025-01-27 07:59:42","R_1kYpwOg5EagK9Df","","","","","Anonymized","Anonymized","anonymous","EN","1","66907bba032cba716fd17636","2","5","0","80","0","50","0","0","9","1","1","","3","","39","1","","","","","control"
"2025-01-27 07:57:25","2025-01-27 07:59:42","0","Anonymized","100","136","1","2025-01-27 07:59:42","R_7QiCTy0HUE4T6sG","","","","","Anonymized","Anonymized","anonymous","EN","1","5e4f1498f5442136deff0d6e","2","5","65","68","68","70","80","83","86","1","1","","3","","23","3","","","","","control"
"2025-01-27 07:58:05","2025-01-27 07:59:53","0","Anonymized","100","108","1","2025-01-27 07:59:54","R_6tgOUOwFuNCPyNd","","","","","Anonymized","Anonymized","anonymous","EN","1","5cd99e9a9da2970001a039b5","2","5","40","55","67","15","20","20","10","3","2","","3","","38","2","","","","","mines"
"2025-01-27 07:56:47","2025-01-27 08:00:24","0","Anonymized","100","217","1","2025-01-27 08:00:25","R_3Ic939t0u8lHIZR","","","","","Anonymized","Anonymized","anonymous","EN","1","5f763e6e7632050c3712feac","2","5","80","80","100","0","50","80","80","3","2","","6","Secluar Ashkenazi Jewish American","53","4","","","","","mines"
"2025-01-27 07:57:37","2025-01-27 08:00:27","0","Anonymized","100","169","1","2025-01-27 08:00:27","R_3IjnhyyNwnRMBPP","","","","","Anonymized","Anonymized","anonymous","EN","1","6362852176f08a3984fa6ef1","2","5","100","100","100","100","0","100","0","2","1","","1","","25","1","","","","","control"
"2025-01-27 07:57:25","2025-01-27 08:00:47","0","Anonymized","100","202","1","2025-01-27 08:00:48","R_7N9dBTMFgFnxnpq","","","","","Anonymized","Anonymized","anonymous","EN","1","611b8f8d34b5aed647a248e3","2","5","50","40","0","0","0","0","0","1","1","","3","","51","3","","","","","control"
"2025-01-27 07:58:55","2025-01-27 08:00:52","0","Anonymized","100","116","1","2025-01-27 08:00:52","R_7R55VAXK5t3kQOE","","","","","Anonymized","Anonymized","anonymous","EN","1","66857cc20736230620552dbc","2","5","30","40","10","74","10","20","50","2","2","","3","","54","4","","","","","aging"
"2025-01-27 07:58:38","2025-01-27 08:01:28","0","Anonymized","100","169","1","2025-01-27 08:01:28","R_3PiHJF0bEwrH8Vr","","","","","Anonymized","Anonymized","anonymous","EN","1","646a2395c7c21c5772c607ab","2","5","25","50","50","25","90","100","90","1","1","","3","","42","3","","","","","control"
"2025-01-27 07:59:50","2025-01-27 08:01:30","0","Anonymized","100","100","1","2025-01-27 08:01:31","R_1ZF5IqZHj8SZNS1","","","","","Anonymized","Anonymized","anonymous","EN","1","5dda6f4e82569a9cea908bb2","2","5","50","70","60","60","30","55","30","1","1","","2","","27","4","","","","","control"
"2025-01-27 07:58:17","2025-01-27 08:01:36","0","Anonymized","100","198","1","2025-01-27 08:01:36","R_6j6xxC0tpCJrWH2","","","","","Anonymized","Anonymized","anonymous","EN","1","5fcebe3538f6f91724bdb635","2","5","30","72","40","31","17","64","29","2","1","","3","","39","5","","","","","aging"
"2025-01-27 07:57:06","2025-01-27 08:02:06","0","Anonymized","100","300","1","2025-01-27 08:02:07","R_5KMBh92ZjQe0OBP","","","","","Anonymized","Anonymized","anonymous","EN","1","5e89ce643ac81466c24cb5d8","2","5","100","100","100","100","100","100","100","1","4","Nonbinary","6","Arab / Middle Eastern","34","3","","","","","mines"
"2025-01-27 07:59:24","2025-01-27 08:02:10","0","Anonymized","100","166","1","2025-01-27 08:02:11","R_7UMlKUL7MPyNnHj","","","","","Anonymized","Anonymized","anonymous","EN","1","5e0f69380fb798000a199566","2","5","68","90","94","91","100","100","52","3","1","","3","","45","3","","","","","mines"
"2025-01-27 08:01:06","2025-01-27 08:02:23","0","Anonymized","100","76","1","2025-01-27 08:02:23","R_6foD78IVXb2eKKB","","","","","Anonymized","Anonymized","anonymous","EN","1","5c0b388b9c7b1100015ab55f","2","5","0","81","50","100","0","0","0","1","2","","3","","56","4","","","","","control"
"2025-01-27 07:56:33","2025-01-27 08:02:39","0","Anonymized","100","365","1","2025-01-27 08:02:40","R_71Ha1TgZMRyixiB","","","","","Anonymized","Anonymized","anonymous","EN","1","656d3cf5c7a413e298817922","2","5","10","30","20","10","20","60","20","3","2","","2","","45","4","","","","","mines"
"2025-01-27 08:01:33","2025-01-27 08:02:50","0","Anonymized","100","76","1","2025-01-27 08:02:50","R_3WIMDq68cwuhmnY","","","","","Anonymized","Anonymized","anonymous","EN","1","6109cd6a03dc4d54ad56fa75","2","5","35","60","72","33","69","75","37","3","2","","3","","29","4","","","","","aging"
"2025-01-27 08:00:05","2025-01-27 08:02:59","0","Anonymized","100","174","1","2025-01-27 08:03:00","R_36oCNCuWl2GrVg5","","","","","Anonymized","Anonymized","anonymous","EN","1","5662218473ac8700058095b1","2","5","0","0","0","0","50","50","50","2","1","","3","","66","5","","","","","aging"
"2025-01-27 08:00:58","2025-01-27 08:04:10","0","Anonymized","100","191","1","2025-01-27 08:04:11","R_6oY6hrophoEYNmp","","","","","Anonymized","Anonymized","anonymous","EN","1","644bfc00d6b860060185459b","2","5","15","80","30","30","15","15","15","3","2","","3","","50","3","","","","","mines"
"2025-01-27 08:01:07","2025-01-27 08:04:16","0","Anonymized","100","188","1","2025-01-27 08:04:17","R_6lLAEXMVK9fR25V","","","","","Anonymized","Anonymized","anonymous","EN","1","565bbc1ec121fe0012fc3782","2","5","0","91","50","0","0","0","0","2","2","","3","","61","3","","","","","aging"
"2025-01-27 08:02:39","2025-01-27 08:04:19","0","Anonymized","100","99","1","2025-01-27 08:04:20","R_3QVwVQ827wzhLiL","","","","","Anonymized","Anonymized","anonymous","EN","1","6163a4324980fcd5e2b0d4d1","2","5","42","81","33","74","31","58","38","1","2","","1","","30","4","","","","","control"
"2025-01-27 08:01:44","2025-01-27 08:04:32","0","Anonymized","100","167","1","2025-01-27 08:04:32","R_3RvI9HoaQSzkTzC","","","","","Anonymized","Anonymized","anonymous","EN","1","5b54b7622680970001a9a7c9","2","5","0","10","0","91","39","50","50","1","2","","3","","88","3","","","","","control"
"2025-01-27 08:01:17","2025-01-27 08:04:52","0","Anonymized","100","215","1","2025-01-27 08:04:52","R_12lTiXMfjSl4stT","","","","","Anonymized","Anonymized","anonymous","EN","1","6317511c1dd0acb82cf4b131","2","5","100","50","50","50","100","100","100","1","2","","3","","44","6","","","","","control"
"2025-01-27 08:02:24","2025-01-27 08:04:57","0","Anonymized","100","152","1","2025-01-27 08:04:57","R_1N8GyXHZP6SRroi","","","","","Anonymized","Anonymized","anonymous","EN","1","64875be76d98311f043edb55","2","5","50","60","70","50","70","70","60","3","2","","3","","62","4","","","","","mines"
"2025-01-27 07:58:26","2025-01-27 08:05:04","0","Anonymized","100","397","1","2025-01-27 08:05:04","R_7IS0G9UP7haZv5c","","","","","Anonymized","Anonymized","anonymous","EN","1","60171277d472ae2062db3a35","2","5","60","28","30","39","18","64","60","3","2","","3","","40","4","","","","","mines"
"2025-01-27 08:02:45","2025-01-27 08:05:14","0","Anonymized","100","149","1","2025-01-27 08:05:15","R_5OlRQ635l7BEcIO","","","","","Anonymized","Anonymized","anonymous","EN","1","6383c45c33cfe57f57d049a9","2","5","0","10","0","50","80","70","70","2","2","","3","","55","2","","","","","aging"
"2025-01-27 08:02:29","2025-01-27 08:05:17","0","Anonymized","100","167","1","2025-01-27 08:05:17","R_5EYISUtKK1sN9Ld","","","","","Anonymized","Anonymized","anonymous","EN","1","653822a7bb1fae9976bb28a1","2","5","25","25","25","25","50","50","50","3","2","","5","","53","4","","","","","mines"
"2025-01-27 08:03:30","2025-01-27 08:05:31","0","Anonymized","100","120","1","2025-01-27 08:05:31","R_54OTBUoB7Y96xnT","","","","","Anonymized","Anonymized","anonymous","EN","1","5da978f61844f20014bf9933","2","5","5","40","10","40","5","45","0","2","1","","3","","36","4","","","","","aging"
"2025-01-27 08:04:16","2025-01-27 08:05:38","0","Anonymized","100","81","1","2025-01-27 08:05:39","R_7bP4JAlptPdD2xR","","","","","Anonymized","Anonymized","anonymous","EN","1","6431fa7dd113eda38603cabc","2","5","0","18","0","11","50","51","40","1","1","","2","","25","4","","","","","control"
"2025-01-27 08:03:23","2025-01-27 08:05:41","0","Anonymized","100","137","1","2025-01-27 08:05:41","R_3qKKTTGdB5hKOoV","","","","","Anonymized","Anonymized","anonymous","EN","1","5e9c8deb90dd470441c7f98e","2","5","0","0","0","0","0","8","0","2","2","","3","","68","7","","","","","aging"
"2025-01-27 08:03:03","2025-01-27 08:06:14","0","Anonymized","100","191","1","2025-01-27 08:06:15","R_3rpbyms5cmDXLXM","","","","","Anonymized","Anonymized","anonymous","EN","1","663e191d67a00a79108b7536","2","5","40","50","30","40","60","50","60","1","2","","3","","47","4","","","","","control"
"2025-01-27 08:04:04","2025-01-27 08:06:17","0","Anonymized","100","133","1","2025-01-27 08:06:18","R_7Lq8Byp5xvNFugz","","","","","Anonymized","Anonymized","anonymous","EN","1","5c6ee20c0506a200015c4275","2","5","0","50","50","50","32","42","9","3","2","","3","","42","1","","","","","mines"
"2025-01-27 08:01:17","2025-01-27 08:06:35","0","Anonymized","100","317","1","2025-01-27 08:06:36","R_3qnWS6R4DjveZIl","","","","","Anonymized","Anonymized","anonymous","EN","1","616de80c9d988b900e45e5d3","2","5","41","40","39","41","58","61","62","3","1","","3","","21","3","","","","","aging"
"2025-01-27 08:04:22","2025-01-27 08:06:40","0","Anonymized","100","137","1","2025-01-27 08:06:40","R_3mruRsPB2x0D9Ai","","","","","Anonymized","Anonymized","anonymous","EN","1","60e5d47e17c05633eef565e3","2","5","60","60","60","60","70","90","70","2","1","","3","","31","5","","","","","aging"
"2025-01-27 08:05:15","2025-01-27 08:06:47","0","Anonymized","100","92","1","2025-01-27 08:06:48","R_3kY2wOusaFHG13j","","","","","Anonymized","Anonymized","anonymous","EN","1","64309be1d7d085ed8ee4c129","2","5","13","81","85","11","72","62","81","1","1","","4","","30","4","","","","","mines"
