"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent","prolific_id","att_1","att_2","interest_1","meeting","q2","comp","spec_1_1","spec_2_1","spec_3_1","spec_4_1","AI_Familiarity_1","gender","gender_4_TEXT","ethnicity","ethnicity_6_TEXT","age","education","education_8_TEXT","PROLIFIC_PID"
"2024-05-21 15:09:53","2024-05-21 15:17:16","IP Address","100","442","True","2024-05-21 15:17:16","R_3UfMwLnqJs1rmgw","","","","","anonymous","EN","I agree","6361c30e6cce2905491c97de","Paul","Purple","No","Yes","It looked AI generated.","The course is on the Principles of Microeconomics","65","90","55","25","85","Male","","Prefer Not to Say","","22","College Graduate (4 year)","","6361c30e6cce2905491c97de"
"2024-05-21 15:18:10","2024-05-21 15:19:54","IP Address","100","104","True","2024-05-21 15:19:54","R_36hT9A8LTaeRZhT","","","","","anonymous","EN","I agree","5faeb0771929e6000941ecc5","Paul","Purple","No","No","No","The course is on Mastering Online Income","65","26","27","50","64","Female","","White or European","","31","College Graduate (4 year)","","5faeb0771929e6000941ecc5"
"2024-05-21 15:20:40","2024-05-21 15:23:23","IP Address","100","163","True","2024-05-21 15:23:24","R_3kGKtH6cTamX7mi","","","","","anonymous","EN","I agree","63d181019036d598f33bfe33","Paul","Purple","Yes","Yes","Not really, except maybe that he didn't mention the specific topics to be covered or where he is a professor at.","The course is on Mastering Online Income","100","10","50","0","80","Male","","White or European","","33","College Graduate (4 year)","","63d181019036d598f33bfe33"
"2024-05-21 15:23:36","2024-05-21 15:25:44","IP Address","100","128","True","2024-05-21 15:25:45","R_39gGzpK7CgWDL03","","","","","anonymous","EN","I agree","5d22782501a19000018ba634","Paul","Purple","No","Yes","his hands didnt move, odd warping of the face. most likely ai","The course is on Mastering Online Income","82","24","27","70","58","Male","","White or European","","25","Some College","","5d22782501a19000018ba634"
"2024-05-21 15:23:53","2024-05-21 15:26:10","IP Address","100","137","True","2024-05-21 15:26:11","R_6avYuVy2PUASO5P","","","","","anonymous","EN","I agree","612f152f7d455625729c73b7","Paul","Purple","Yes","No","It looked like he was in front of a green screen but I didn't notice anything unusual really","The course is on Mastering Online Income","100","0","0","17","70","Female","","White or European","","25","College Graduate (4 year)","","612f152f7d455625729c73b7"
"2024-05-21 15:24:23","2024-05-21 15:26:14","IP Address","100","111","True","2024-05-21 15:26:15","R_3eV3bcxLXEwDWIr","","","","","anonymous","EN","I agree","5d47292b4bfe1600016925ac","Paul","Purple","Yes","No","No","The course is on Mastering Online Income","69","67","66","75","78","Male","","White or European","","31","College Graduate (4 year)","","5d47292b4bfe1600016925ac"
"2024-05-21 15:24:14","2024-05-21 15:26:23","IP Address","100","128","True","2024-05-21 15:26:24","R_701M2JEKEUz3HTG","","","","","anonymous","EN","I agree","59107216127b0b00011fabea","Paul","Purple","No","No","none","The course is on Mastering Online Income","44","49","56","50","34","Female","","Asian","","34","Masters Degree (MS)","","59107216127b0b00011fabea"
"2024-05-21 15:25:06","2024-05-21 15:26:38","IP Address","100","91","True","2024-05-21 15:26:39","R_5Pbsqs7dBVextA7","","","","","anonymous","EN","I agree","5a9493ce873cda0001dc6dfb","Paul","Purple","No","No","no","The course is on Mastering Online Income","34","60","22","27","32","Female","","White or European","","33","College Graduate (4 year)","","5a9493ce873cda0001dc6dfb"
"2024-05-21 15:23:10","2024-05-21 15:27:07","IP Address","100","237","True","2024-05-21 15:27:08","R_5qxqFXidl39en9S","","","","","anonymous","EN","I agree","570521cfde5095001018a0c8","Paul","Purple","No","No","Yes, the speech was very programmatic and did not seem to fit the person in the video.","The course is on Mastering Online Income","50","29","68","8","75","Male","","White or European","","53","College Graduate (4 year)","","570521cfde5095001018a0c8"
"2024-05-21 15:24:18","2024-05-21 15:27:25","IP Address","100","187","True","2024-05-21 15:27:25","R_3TS0EgFcEQoJORi","","","","","anonymous","EN","I agree","6601fc118067a039ed0dfddb","Paul","Green","Yes","No","No","The course is on Mastering Online Income","55","51","75","51","64","Male","","White or European","","37","College Graduate (4 year)","","6601fc118067a039ed0dfddb"
"2024-05-21 15:24:50","2024-05-21 15:27:27","IP Address","100","156","True","2024-05-21 15:27:27","R_6PZ3H0JA8OAZ5nm","","","","","anonymous","EN","I agree","5e552a5e45774651f60e62b3","Paul","Purple","Yes","No","No","The course is on Mastering Online Income","95","8","54","33","85","Female","","Mixed","","26","College Graduate (4 year)","","5e552a5e45774651f60e62b3"
"2024-05-21 15:26:05","2024-05-21 15:27:28","IP Address","100","82","True","2024-05-21 15:27:29","R_39LpO00vJ4sKkUh","","","","","anonymous","EN","I agree","62fdda76250ace9232630851","Paul","Purple","Yes","Yes","Nothing","The course is on Open Innovation","83","63","41","59","15","Male","","Asian","","32","Masters Degree (MS)","","62fdda76250ace9232630851"
"2024-05-21 15:25:45","2024-05-21 15:27:46","IP Address","100","121","True","2024-05-21 15:27:47","R_3C48Z6VNyzyuphL","","","","","anonymous","EN","I agree","5d4d6bc146fc3900174b727c","Paul","Purple","Yes","Yes","No","The course is on Mastering Online Income","75","53","60","50","60","Female","","Black or African American","","30","Some College","","5d4d6bc146fc3900174b727c"
"2024-05-21 15:25:19","2024-05-21 15:28:02","IP Address","100","162","True","2024-05-21 15:28:02","R_3y9DQmcGDgYSGDb","","","","","anonymous","EN","I agree","5c11d4c31f6f15000148d741","Paul","Purple","No","Yes","no","The course is on Mastering Online Income","60","70","60","30","60","Male","","Asian","","25","College Graduate (4 year)","","5c11d4c31f6f15000148d741"
"2024-05-21 15:23:55","2024-05-21 15:28:03","IP Address","100","247","True","2024-05-21 15:28:03","R_6IcH9oiPyOB5b9T","","","","","anonymous","EN","I agree","63d7e0c763272ebae2c145b8","Paul","Purple","No","No","He looked AI","The course is on Mastering Online Income","50","54","39","50","89","Female","","White or European","","42","High School or Equivalent","","63d7e0c763272ebae2c145b8"
"2024-05-21 15:24:26","2024-05-21 15:28:12","IP Address","100","225","True","2024-05-21 15:28:12","R_3zqL59aQiRTaw4X","","","","","anonymous","EN","I agree","61451e21a303bee08cbb86ea","Paul","Purple","No","No","None","The course is on Mastering Online Income","50","0","0","0","0","Male","","White or European","","22","High School or Equivalent","","61451e21a303bee08cbb86ea"
"2024-05-21 15:24:33","2024-05-21 15:28:20","IP Address","100","227","True","2024-05-21 15:28:21","R_7FIItOXoSN8OdIZ","","","","","anonymous","EN","I agree","65c52a964ca37618aa15dcbf","Paul","Green","Yes","Yes","no","The course is on Mastering Online Income","71","34","62","46","40","Female","","White or European","","56","Some College","","65c52a964ca37618aa15dcbf"
"2024-05-21 15:26:48","2024-05-21 15:28:33","IP Address","100","105","True","2024-05-21 15:28:34","R_7ycnN68PLStaTaV","","","","","anonymous","EN","I agree","6108810ffeafd39e02b1ee35","Paul","Purple","No","No","no","The course is on Mastering Online Income","50","50","50","0","23","Female","","White or European","","22","College Graduate (4 year)","","6108810ffeafd39e02b1ee35"
"2024-05-21 15:25:11","2024-05-21 15:28:34","IP Address","100","203","True","2024-05-21 15:28:35","R_7fISd3aPVNFfBLm","","","","","anonymous","EN","I agree","55b94954fdf99b45b103420b","Paul","Purple","Yes","No","no","The course is on Mastering Online Income","87","80","58","23","71","Male","","Black or African American","","28","Some College","","55b94954fdf99b45b103420b"
"2024-05-21 15:25:27","2024-05-21 15:28:42","IP Address","100","194","True","2024-05-21 15:28:42","R_5zARVWF3xzT9jQl","","","","","anonymous","EN","I agree","62cccdcadf4fdbc4424844d5","Paul","Purple","No","No","I believe the video was AI generated, but it's fairly smooth.","The course is on Mastering Online Income","50","75","90","25","85","Male","","White or European","","45","College Graduate (4 year)","","62cccdcadf4fdbc4424844d5"
"2024-05-21 15:26:41","2024-05-21 15:28:44","IP Address","100","123","True","2024-05-21 15:28:44","R_5lOtS0T0v1r6JUt","","","","","anonymous","EN","I agree","66312343aca21d70a83a2e03","Paul","Purple","No","No","no","The course is on Mastering Online Income","74","0","14","0","79","Female","","Hispanic or Latino","","40","Masters Degree (MS)","","66312343aca21d70a83a2e03"
"2024-05-21 15:25:40","2024-05-21 15:28:48","IP Address","100","187","True","2024-05-21 15:28:48","R_3jJQbJwACKoKMq9","","","","","anonymous","EN","I agree","63d5cbb3c8e15d4cd611bee1","Paul","Purple","No","No","No","The course is on Mastering Online Income","29","82","62","0","71","Female","","White or European","","47","Some College","","63d5cbb3c8e15d4cd611bee1"
"2024-05-21 15:25:49","2024-05-21 15:28:52","IP Address","100","182","True","2024-05-21 15:28:52","R_6Hohsiun2LjFS6d","","","","","anonymous","EN","I agree","59f21fe8cc514a00011a66cf","Paul","Purple","Yes","No","No","The course is on Mastering Online Income","100","80","50","0","75","Female","","White or European","","49","Some College","","59f21fe8cc514a00011a66cf"
"2024-05-21 15:25:07","2024-05-21 15:28:55","IP Address","100","227","True","2024-05-21 15:28:55","R_3KZmEdfDsUWdCZh","","","","","anonymous","EN","I agree","61523a4c57654b5cb6b7c5b0","Paul","Purple","No","No","The person was stiff and inflexible. Otherwise, no.","The course is on the Principles of Microeconomics","87","50","50","4","52","Male","","White or European","","65","Professional Degree (MD, JD, etc.)","","61523a4c57654b5cb6b7c5b0"
"2024-05-21 15:25:23","2024-05-21 15:29:02","IP Address","100","219","True","2024-05-21 15:29:03","R_5Pdxo53tfwMU3md","","","","","anonymous","EN","I agree","61159bd27aa4ccd9e144880a","Paul","Purple","Yes","Yes","The motion of the professor seemed somewhat uncanny and his voice felt like it was possibly AI. ","The course is on Mastering Online Income","75","0","0","70","60","Male","","White or European","","33","College Graduate (4 year)","","61159bd27aa4ccd9e144880a"
"2024-05-21 15:25:41","2024-05-21 15:29:03","IP Address","100","202","True","2024-05-21 15:29:04","R_3XIYEHR2qFMWTcJ","","","","","anonymous","EN","I agree","6111b0d368941daa1344280a","Paul","Purple","Yes","No","no","The course is on Mastering Online Income","60","0","20","32","70","Female","","White or European","","32","College Graduate (4 year)","","6111b0d368941daa1344280a"
"2024-05-21 15:26:26","2024-05-21 15:29:06","IP Address","100","160","True","2024-05-21 15:29:06","R_5lPQ8B6ed0dKYci","","","","","anonymous","EN","I agree","57d6dd8d6598aa000199188b","Paul","Purple","Yes","Yes","He didn't specify what he was teaching and how it related to Prolific.","The course is on Mastering Online Income","62","35","41","37","71","Female","","Asian","","34","College Graduate (4 year)","","57d6dd8d6598aa000199188b"
"2024-05-21 15:26:22","2024-05-21 15:29:15","IP Address","100","172","True","2024-05-21 15:29:15","R_5sbpThTJWvY8xy1","","","","","anonymous","EN","I agree","65e7a4565d3bdb0624b6d060","Paul","Purple","Yes","No","No","The course is on Mastering Online Income","80","40","95","0","0","Female","","White or European","","31","Masters Degree (MS)","","65e7a4565d3bdb0624b6d060"
"2024-05-21 15:26:56","2024-05-21 15:29:19","IP Address","100","142","True","2024-05-21 15:29:19","R_5EhzUagXB3U9Orb","","","","","anonymous","EN","I agree","60fe0460e678d2576844fe5e","Paul","Purple","No","No","His accent didn't seem to match up with his last name. ","The course is on Mastering Online Income","96","68","50","0","74","Female","","White or European","","34","Masters Degree (MS)","","60fe0460e678d2576844fe5e"
"2024-05-21 15:27:09","2024-05-21 15:29:34","IP Address","100","144","True","2024-05-21 15:29:35","R_3LUbnUC8s3EF1JP","","","","","anonymous","EN","I agree","650d9893ce518e43bd90407f","Paul","Purple","No","No","seemed AI","The course is on Open Innovation","100","0","100","0","63","Female","","Mixed","","55","College Graduate (4 year)","","650d9893ce518e43bd90407f"
"2024-05-21 15:26:26","2024-05-21 15:29:38","IP Address","100","192","True","2024-05-21 15:29:39","R_3ITnDDlIGOyEmqg","","","","","anonymous","EN","I agree","55c6bd08fdf99b7ba403d54f","Paul","Purple","No","No","His speech seemed off, as if the video was AI generated. ","The course is on Mastering Online Income","95","85","98","0","60","Male","","White or European","","48","College Graduate (4 year)","","55c6bd08fdf99b7ba403d54f"
"2024-05-21 15:26:37","2024-05-21 15:29:43","IP Address","100","186","True","2024-05-21 15:29:44","R_5pt0zPxwFO7S9Hr","","","","","anonymous","EN","I agree","65779c4bde34621ce896b77d","Paul","Purple","No","No","I did not.","The course is on Open Innovation","50","72","50","0","100","Male","","Hispanic or Latino","","35","High School or Equivalent","","65779c4bde34621ce896b77d"
"2024-05-21 15:27:37","2024-05-21 15:29:44","IP Address","100","127","True","2024-05-21 15:29:44","R_5EzirT8L8KMCTLe","","","","","anonymous","EN","I agree","5748077a5e5491000e3bf711","Paul","Purple","Yes","Yes","no","The course is on Mastering Online Income","50","50","50","50","50","Male","","White or European","","24","Vocational/Technical School (2 year)","","5748077a5e5491000e3bf711"
"2024-05-21 15:27:47","2024-05-21 15:29:47","IP Address","100","119","True","2024-05-21 15:29:47","R_1fCFBKz4JyB0cTa","","","","","anonymous","EN","I agree","605399bd9b612f585a9f8412","Paul","Purple","Yes","No","No ","The course is on Mastering Online Income","66","33","37","42","57","Female","","White or European","","27","Professional Degree (MD, JD, etc.)","","605399bd9b612f585a9f8412"
"2024-05-21 15:27:21","2024-05-21 15:29:50","IP Address","100","148","True","2024-05-21 15:29:51","R_6ZMyjqfhmBu6epH","","","","","anonymous","EN","I agree","6579cbad2b12085e66f84513","Paul","Purple","No","No","No","The course is on Open Innovation","70","30","50","0","70","Female","","White or European","","28","Some College","","6579cbad2b12085e66f84513"
"2024-05-21 15:24:01","2024-05-21 15:30:02","IP Address","100","361","True","2024-05-21 15:30:02","R_61sm7VbMBrNwxYX","","","","","anonymous","EN","I agree","5e574010f269721002764a53","Paul","Purple","No","No","Seemed AI generated","The course is on Open Innovation","100","70","60","0","70","Male","","White or European","","31","College Graduate (4 year)","","5e574010f269721002764a53"
"2024-05-21 15:28:43","2024-05-21 15:30:19","IP Address","100","95","True","2024-05-21 15:30:19","R_3CTu1MxhCpkX6Wl","","","","","anonymous","EN","I agree","62b07999216d375c631fcb1b","Paul","Green","No","No","no","The course is on the Principles of Microeconomics","68","65","72","63","69","Male","","White or European","","33","Masters Degree (MS)","","62b07999216d375c631fcb1b"
"2024-05-21 15:27:55","2024-05-21 15:30:21","IP Address","100","145","True","2024-05-21 15:30:22","R_5aLZd9rISXfiqQi","","","","","anonymous","EN","I agree","55cb9fb2fdf99b45b781b3cb","Paul","Green","Yes","No","No. ","The course is on Mastering Online Income","69","25","29","22","12","Female","","White or European","","26","College Graduate (4 year)","","55cb9fb2fdf99b45b781b3cb"
"2024-05-21 15:27:20","2024-05-21 15:30:28","IP Address","100","187","True","2024-05-21 15:30:29","R_7KSIgbgLc572Pb5","","","","","anonymous","EN","I agree","5b33034d975e260001e981c9","Paul","Purple","No","No","The voice sounded a bit like AI instead of a real person.","The course is on Mastering Online Income","100","0","20","50","80","Female","","White or European","","28","Other (please specify)","Associate's Degree","5b33034d975e260001e981c9"
"2024-05-21 15:27:03","2024-05-21 15:30:30","IP Address","100","206","True","2024-05-21 15:30:31","R_5jfwHHlfVWFGlpS","","","","","anonymous","EN","I agree","6406914224cb7f3cd08b1675","Paul","Purple","Yes","No","it didn't give any details that were relevant to what the topic was","The course is on Mastering Online Income","43","31","30","9","57","Female","","Asian","","59","College Graduate (4 year)","","6406914224cb7f3cd08b1675"
"2024-05-21 15:26:24","2024-05-21 15:30:44","IP Address","100","260","True","2024-05-21 15:30:45","R_3BAtbWsIdOdUkBH","","","","","anonymous","EN","I agree","63d7eca29f0291aff53b003e","Paul","Purple","Yes","Yes","no","The course is on Mastering Online Income","100","100","100","0","84","Female","","White or European","","40","Some College","","63d7eca29f0291aff53b003e"
"2024-05-21 15:28:21","2024-05-21 15:30:59","IP Address","100","157","True","2024-05-21 15:30:59","R_7mb9AIO5QyHynpT","","","","","anonymous","EN","I agree","662a6980834b6aae413994c6","Paul","Purple","Yes","No","It seemed fake. ","The course is on Mastering Online Income","75","29","82","0","68","Female","","White or European","","49","Some College","","662a6980834b6aae413994c6"
"2024-05-21 15:28:17","2024-05-21 15:31:12","IP Address","100","174","True","2024-05-21 15:31:12","R_1F3DYYb04adRW78","","","","","anonymous","EN","I agree","62740f4f578f0114e649016d","Paul","Purple","Yes","Yes","Not really, it seemed normal to me.","The course is on Mastering Online Income","71","30","3","0","60","Female","","White or European","","33","Doctoral Degree (PhD)","","62740f4f578f0114e649016d"
"2024-05-21 15:28:23","2024-05-21 15:31:16","IP Address","100","172","True","2024-05-21 15:31:17","R_7kDsLyy6EhAqQ1z","","","","","anonymous","EN","I agree","5e8ea833d4e24915d6880320","Paul","Purple","No","No","It seemed like a greenscreen was used.","The course is on Mastering Online Income","100","0","0","100","80","Male","","White or European","","32","College Graduate (4 year)","","5e8ea833d4e24915d6880320"
"2024-05-21 15:28:27","2024-05-21 15:31:32","IP Address","100","185","True","2024-05-21 15:31:33","R_31gjklU4eiKjCGt","","","","","anonymous","EN","I agree","653bc00977833dd2acdbf79b","Paul","Purple","Yes","No","not sure it was a human voice","The course is on Mastering Online Income","62","58","25","19","46","Male","","White or European","","52","College Graduate (4 year)","","653bc00977833dd2acdbf79b"
"2024-05-21 15:30:23","2024-05-21 15:32:33","IP Address","100","129","True","2024-05-21 15:32:33","R_3Eb55Yuc1KMcxvX","","","","","anonymous","EN","I agree","5f13ea64399eaf40ff6c1b90","Paul","Purple","No","No","The movement of the face/body indicates that it's either an entirely AI generated video or an AI manipulation of an existing image of a person","The course is on Open Innovation","59","50","39","50","62","Male","","White or European","","23","Some College","","5f13ea64399eaf40ff6c1b90"
"2024-05-21 15:30:59","2024-05-21 15:33:37","IP Address","100","158","True","2024-05-21 15:33:38","R_3BOTCxQ4Z4yFVLf","","","","","anonymous","EN","I agree","66259678eb328e11196db065","Paul","Purple","No","No","no ","The course is on Mastering Online Income","71","20","71","3","72","Female","","Asian","","36","College Graduate (4 year)","","66259678eb328e11196db065"
"2024-05-21 15:27:02","2024-05-21 15:33:43","IP Address","100","401","True","2024-05-21 15:33:44","R_75Z9ZCE5bA8LKPr","","","","","anonymous","EN","I agree","59dba8575cddae0001ff0780","Paul","Purple","Yes","No","The speaker looked a little odd and unnatural. ","The course is on Mastering Online Income","93","68","54","4","68","Male","","White or European","","31","Some College","","59dba8575cddae0001ff0780"
"2024-05-21 15:29:50","2024-05-21 15:33:44","IP Address","100","233","True","2024-05-21 15:33:45","R_147ZGf3lz9O09uj","","","","","anonymous","EN","I agree","5a57a9bbac5624000153bc85","Paul","Purple","Yes","Yes","He seemed to speak a bit robotic but that might just be how he talks.","The course is on Mastering Online Income","35","90","90","90","100","Male","","White or European","","33","High School or Equivalent","","5a57a9bbac5624000153bc85"
"2024-05-21 15:29:16","2024-05-21 15:33:49","IP Address","100","273","True","2024-05-21 15:33:50","R_3ZKd89YoW10Li3I","","","","","anonymous","EN","I agree","5640c041074be6000a5e997e","Paul","Purple","Yes","No","No","The course is on Mastering Online Income","80","70","70","20","80","Female","","White or European","","31","Some College","","5640c041074be6000a5e997e"
"2024-05-21 15:32:01","2024-05-21 15:33:59","IP Address","100","118","True","2024-05-21 15:34:00","R_1VD31tVysj7EdXa","","","","","anonymous","EN","I agree","5cba91f716ab74001672d747","Paul","Purple","Yes","No","No","The course is on Mastering Online Income","95","0","0","90","10","Male","","Asian","","29","Some College","","5cba91f716ab74001672d747"
"2024-05-21 15:31:19","2024-05-21 15:34:14","IP Address","100","175","True","2024-05-21 15:34:14","R_58zwD3beHDCQ5pa","","","","","anonymous","EN","I agree","5ad38729dfe710000183c244","Paul","Purple","No","No","Seemed off, like he was AI generated, very stiff.","The course is on Mastering Online Income","100","30","80","0","68","Female","","Black or African American","","44","Some College","","5ad38729dfe710000183c244"
"2024-05-21 15:29:17","2024-05-21 15:34:18","IP Address","100","300","True","2024-05-21 15:34:18","R_1oEEJuyCdS5KcOV","","","","","anonymous","EN","I agree","5f6a545fdca6c40ffe5fd6fa","Paul","Purple","Yes","Yes","The professor seemed to be AI-generated.","The course is on Mastering Online Income","100","30","85","60","75","Male","","Hispanic or Latino","","46","College Graduate (4 year)","","5f6a545fdca6c40ffe5fd6fa"
