"StartDate","EndDate","Status","IPAddress","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","P","H","surprise","likely_1","recommend_1","comfort_1","Q106","likely2_1","recommend2_1","comf2_1","easy_1","confident_1","PROLIFIC_PID","Q_URL","condition2","condition","scenarios_DO"
"4/14/23 12:53","4/14/23 12:55","0","Anonymized","100","118","1","4/14/23 12:55","R_3062aLOnskf9yYk","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","8","8","7","","","","","10","10","608f2aa883599160c8b87a79","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=608f2aa883599160c8b87a79&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a12255c20e17f9141a31","person","person","H"
"4/14/23 12:58","4/14/23 12:59","0","Anonymized","100","98","1","4/14/23 12:59","R_3QVLJL3qaDrVu0T","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","8","5","8","","","","","9","9","5db48b4d14dab8000de45fdf","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5db48b4d14dab8000de45fdf&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a23df41d253929eb6738","robot","robot","P"
"4/14/23 12:58","4/14/23 13:00","0","Anonymized","100","121","1","4/14/23 13:00","R_2CBOreIdmetXGdW","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","5","5","5","","","","","9","5","63fe7df97332b44a2999fc7f","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=63fe7df97332b44a2999fc7f&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a24fddf6559a4c316c82","person","person","H"
"4/14/23 13:00","4/14/23 13:01","0","Anonymized","100","55","1","4/14/23 13:01","R_XnpqkIlmsKFmJQl","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","2","2","8","","","","","9","9","5d79156e0c89aa0001026dc8","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5d79156e0c89aa0001026dc8&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a2de542420c83f9cfc01","person","person","H"
"4/14/23 13:01","4/14/23 13:02","0","Anonymized","100","30","1","4/14/23 13:02","R_2RWFMbEv9mw2N0V","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","2","1","1","","","","","5","7","5e8b414388ac1c80052bf196","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5e8b414388ac1c80052bf196&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a2eae110e303a8339940","robot","robot","P"
"4/14/23 13:00","4/14/23 13:02","0","Anonymized","100","148","1","4/14/23 13:02","R_2CqPYuJGEyHC19w","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","5","5","5","1","5","5","5","8","7","62e1bc1f7bc99745a170ce2e","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=62e1bc1f7bc99745a170ce2e&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a2b052a4d3f4b5b81c45","robot","person","surprise"
"4/14/23 13:02","4/14/23 13:03","0","Anonymized","100","69","1","4/14/23 13:03","R_1IMpPQi0IiJPPBy","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","4","5","6","","","","","9","9","5cda0f40fbe78a00192192a3","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5cda0f40fbe78a00192192a3&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a322c02e9304152abf23","person","person","H"
"4/14/23 13:02","4/14/23 13:03","0","Anonymized","100","35","1","4/14/23 13:03","R_r1m34lxYt1Hm6lP","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","5","5","5","","","","","4","8","6090578fb2299eacaec32b7a","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=6090578fb2299eacaec32b7a&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a351c59216eb70533af0","robot","robot","P"
"4/14/23 13:02","4/14/23 13:03","0","Anonymized","100","50","1","4/14/23 13:03","R_2Sc2825lBPNV3TW","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","10","10","9","1","10","10","10","10","10","62cc1f77c32651ff9d35a471","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=62cc1f77c32651ff9d35a471&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3494c7c28a238e0fb60","robot","person","surprise"
"4/14/23 13:02","4/14/23 13:03","0","Anonymized","100","56","1","4/14/23 13:03","R_09d96uyLSYwfPrz","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","5","6","10","1","0","0","0","10","10","5fc7a6aaa7646c0009521161","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5fc7a6aaa7646c0009521161&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3473c82ab0cd9df7a2f","robot","person","surprise"
"4/14/23 13:03","4/14/23 13:03","0","Anonymized","100","31","1","4/14/23 13:03","R_2tFgPVNP1MqTq3i","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","10","10","10","","","","","10","10","6012e262527c380ccb2a6c74","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=6012e262527c380ccb2a6c74&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a363df8518bda84788fa","person","person","H"
"4/14/23 13:02","4/14/23 13:03","0","Anonymized","100","52","1","4/14/23 13:03","R_vuemd12fIcHIWSR","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","2","3","8","1","4","5","7","10","9","57dd186e6598aa0001992616","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=57dd186e6598aa0001992616&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a34e54de757410d976bc","robot","person","surprise"
"4/14/23 13:03","4/14/23 13:03","0","Anonymized","100","44","1","4/14/23 13:03","R_3ssLhLYY2FqfFCh","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","7","6","9","","","","","6","7","6294bc3eec2ddf53f2dc9316","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=6294bc3eec2ddf53f2dc9316&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a366028067f2484d270e","person","person","H"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","62","1","4/14/23 13:04","R_2cAVtqVT2DtDxuH","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","5","5","3","","","","","8","9","629642bfde2bf56c1ec2a420","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=629642bfde2bf56c1ec2a420&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a35d7ee415731079742f","person","person","H"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","39","1","4/14/23 13:04","R_9ZyCSnwztykAsed","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","6","5","4","","","","","4","5","56b43607c54e3c000d3c9b0b","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=56b43607c54e3c000d3c9b0b&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a37c869f1e126eadb3b8","robot","robot","P"
"4/14/23 13:01","4/14/23 13:04","0","Anonymized","100","146","1","4/14/23 13:04","R_2vihaikTWnYopjp","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","6","6","8","","","","","10","6","60f2a2b4932fed5326988e0f","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=60f2a2b4932fed5326988e0f&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3173cf8c6eacecd6203","robot","robot","P"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","49","1","4/14/23 13:04","R_1F5mmH2EmwE8cm4","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","8","6","7","1","4","5","3","7","8","60cfe495190da9fb2a1b9e52","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=60cfe495190da9fb2a1b9e52&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a37f52a4d3f4b5b81c61","robot","person","surprise"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","33","1","4/14/23 13:04","R_3elYGaYW0bg7JbD","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","8","7","7","","","","","10","10","5d46daa91274770001916403","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5d46daa91274770001916403&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a391165606dc5e78d027","person","person","H"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","67","1","4/14/23 13:04","R_3I3HiQvcMtzoYCi","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","6","5","5","","","","","7","8","55bd8669fdf99b5bfc7d4cfc","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=55bd8669fdf99b5bfc7d4cfc&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a37786b2a3ef28935c03","robot","robot","P"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","95","1","4/14/23 13:04","R_11hiNLomsgaQrj0","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","7","6","9","1","8","8","9","10","10","627286792f25495f123cc27b","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=627286792f25495f123cc27b&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a36603b04fa5918062ac","robot","person","surprise"
"4/14/23 13:04","4/14/23 13:04","0","Anonymized","100","40","1","4/14/23 13:04","R_3JJHcpnsq0V5XVp","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","0","0","0","","","","","9","5","5dcf4136cf8e7e086ea019e4","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5dcf4136cf8e7e086ea019e4&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a37a62f7caedcbaa4e77","person","person","H"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","60","1","4/14/23 13:04","R_1mFA6IrLIeNNeNY","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","5","5","5","","","","","6","8","631916ad7afacf6bf7b9a0f6","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=631916ad7afacf6bf7b9a0f6&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a389af9b98a130e04bb4","person","person","H"
"4/14/23 13:03","4/14/23 13:04","0","Anonymized","100","59","1","4/14/23 13:04","R_2troezkVBO8vsSD","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","6","5","4","","","","","9","9","61071ee0d98a6df6efb59716","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=61071ee0d98a6df6efb59716&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a38f8d12d2dc69e31294","robot","robot","P"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","65","1","4/14/23 13:05","R_2cufnyN7vFwKc1p","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","6","1","5","1","6","1","6","5","9","61640652141bd74963f8f1cb","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=61640652141bd74963f8f1cb&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3965afa99f25aadb412","robot","person","surprise"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","48","1","4/14/23 13:05","R_3NIw4g5ecTIT79f","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","5","5","8","","","","","10","9","62713a003caa3feec5c6a0ba","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=62713a003caa3feec5c6a0ba&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3b7ba42aa69cce0fb63","robot","robot","P"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","48","1","4/14/23 13:05","R_BP82ivP5xEsnDFL","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","5","5","9","","","","","10","10","56797198c3041a0012b64b5e","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=56797198c3041a0012b64b5e&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3a3eb7ef20671c4810b","person","person","H"
"4/14/23 13:03","4/14/23 13:05","0","Anonymized","100","119","1","4/14/23 13:05","R_1NyVQRZ76uPQZ4w","","","","","Anonymized","Anonymized","anonymous","EN","2","","","1","10","9","10","1","10","9","10","10","9","5f6fd1451758e95a989623b2","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5f6fd1451758e95a989623b2&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a363022ebac9272f2932","robot","person","surprise"
"4/14/23 13:03","4/14/23 13:05","0","Anonymized","100","120","1","4/14/23 13:05","R_3PmByEKD9y85FBN","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","7","7","7","","","","","8","7","63bf3247bf3b5ebd734157ee","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=63bf3247bf3b5ebd734157ee&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a37155c20e17f9141a90","robot","robot","P"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","52","1","4/14/23 13:05","R_x3Nd30zR1r1nt9D","","","","","Anonymized","Anonymized","anonymous","EN","2","","1","","3","2","4","","","","","8","9","6310d1ed7f4d3049ba540f3c","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=6310d1ed7f4d3049ba540f3c&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a3b9bed4e746e4a4566b","person","person","H"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","86","1","4/14/23 13:05","R_1JJYAarwBGx3Vof","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","6","5","5","","","","","6","6","5f66893ee1a5b726ff88b66f","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5f66893ee1a5b726ff88b66f&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a39d734281ecaed4a9a8","person","person","H"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","82","1","4/14/23 13:05","R_2WO3qOD4nKXJwjU","","","","","Anonymized","Anonymized","anonymous","EN","2","","","","10","10","10","","10","10","10","10","10","5a5da588f6c51700019527c4","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=5a5da588f6c51700019527c4&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a39e9f2d5377cb2bf53c","robot","person","surprise"
"4/14/23 13:04","4/14/23 13:05","0","Anonymized","100","91","1","4/14/23 13:05","R_VVdXaibhLOvYZLr","","","","","Anonymized","Anonymized","anonymous","EN","2","1","","","1","0","1","","","","","9","9","59f226a9d6380600018b2923","https://hbs.qualtrics.com/jfe/form/SV_8D2MARhZVbw1cA6?PROLIFIC_PID=59f226a9d6380600018b2923&STUDY_ID=643986373d96fa69aed693c3&SESSION_ID=6439a395bf7384cc6c992a38","robot","robot","P"
