"StartDate","EndDate","Status","Progress","Duration (in seconds)","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","consent-yes-no","Q1","Q2","s1","s2","s3","s4r","Q_URL","PROLIFIC_PID"
"2023-04-12 11:50:17","2023-04-12 11:51:05","0","100","48","1","2023-04-12 11:51:06","R_1FteqmtAeWiGw0r",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=62df7d2c533b8331660baf2e&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef52093c3b84d929bcc9","62df7d2c533b8331660baf2e"
"2023-04-12 11:50:37","2023-04-12 11:51:11","0","100","34","1","2023-04-12 11:51:12","R_2qfMACIYB25l3Id",NA,NA,NA,NA,"anonymous","EN","2","2","1","3","2","5","3","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5e2ba083f420f01f6e81c5ae&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef68e8f81f997860d865","5e2ba083f420f01f6e81c5ae"
"2023-04-12 11:50:32","2023-04-12 11:51:13","0","100","40","1","2023-04-12 11:51:14","R_3kNRk7UGnM9FEiY",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","5","5","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5a7900f5f1408d0001760dee&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef50600d109397ffec5f","5a7900f5f1408d0001760dee"
"2023-04-12 11:50:46","2023-04-12 11:51:35","0","100","49","1","2023-04-12 11:51:36","R_1rdHwH4SOqwTdv2",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","3","4","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=61453d979fbdb8e800b8f0eb&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef72f08699ce7b2bf684","61453d979fbdb8e800b8f0eb"
"2023-04-12 11:51:07","2023-04-12 11:51:37","0","100","29","1","2023-04-12 11:51:37","R_3F6lQTEExEN9tRL",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","1","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60b98e805f90520bd582802d&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef8640494a5cd07068ce","60b98e805f90520bd582802d"
"2023-04-12 11:50:53","2023-04-12 11:51:37","0","100","44","1","2023-04-12 11:51:38","R_3HSIe7iHR8DHbBZ",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","4","4","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=600bca2adfb717026373dbb3&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef732fad70edf6143a3b","600bca2adfb717026373dbb3"
"2023-04-12 11:51:10","2023-04-12 11:51:51","0","100","41","1","2023-04-12 11:51:52","R_tYfsWPzqMVm65yx",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","1","7","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5a3bf28afbc64300010a2530&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef8984dbdd8afe6d936e","5a3bf28afbc64300010a2530"
"2023-04-12 11:50:45","2023-04-12 11:51:52","0","100","66","1","2023-04-12 11:51:52","R_Xk7e4RHURd1eCrv",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","6","6","6","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5c281f7170d93a0001211396&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436eeba51d8c7c5d2006271","5c281f7170d93a0001211396"
"2023-04-12 11:50:24","2023-04-12 11:51:57","0","100","93","1","2023-04-12 11:51:58","R_1jBxjwg1knzKFSf",NA,NA,NA,NA,"anonymous","EN","2","2","1","4","3","7","2","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5856eb5f28da4d0001884a76&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef57640aa4123c9e6d8e","5856eb5f28da4d0001884a76"
"2023-04-12 11:51:24","2023-04-12 11:51:57","0","100","33","1","2023-04-12 11:51:58","R_2rj6Zafdk0dGBuS",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","6","6","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=62d6e24cf74647ef51a16300&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef97d6c5d81b143785dd","62d6e24cf74647ef51a16300"
"2023-04-12 11:50:54","2023-04-12 11:52:01","0","100","67","1","2023-04-12 11:52:02","R_2cjc53bIG7hQB1Y",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","2","4","3","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=632ab708d83cdfcafa433244&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef783d339133c55c2371","632ab708d83cdfcafa433244"
"2023-04-12 11:51:19","2023-04-12 11:52:02","0","100","43","1","2023-04-12 11:52:03","R_2q9jRzCsP9LOJoe",NA,NA,NA,NA,"anonymous","EN","2","2","1","3","1","2","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=6010c31eeb191c464a4c134d&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef925f74a44f1d1b089b","6010c31eeb191c464a4c134d"
"2023-04-12 11:51:40","2023-04-12 11:52:07","0","100","26","1","2023-04-12 11:52:07","R_10IpD2ROimRCz1O",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=63209d3d38b5c490f3bccd01&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efa3a83fdd7e10f7e96a","63209d3d38b5c490f3bccd01"
"2023-04-12 11:51:01","2023-04-12 11:52:29","0","100","87","1","2023-04-12 11:52:29","R_3lYPV9laqrZcG2E",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","4","4","2","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5d548912e1c7130018e019dc&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef75ecb645b09389215a","5d548912e1c7130018e019dc"
"2023-04-12 11:52:04","2023-04-12 11:52:31","0","100","26","1","2023-04-12 11:52:31","R_WiDfIk1Fmnfqr3r",NA,NA,NA,NA,"anonymous","EN","2","2","1","3","4","4","3","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=63d42902a85ae3e7b4920266&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efbf46d1bb012a2822c9","63d42902a85ae3e7b4920266"
"2023-04-12 11:51:29","2023-04-12 11:52:35","0","100","66","1","2023-04-12 11:52:35","R_29nW0tGRb7x91Kx",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=6153226d04ed5dce3aaa9703&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef8ed9c9f749a1400265","6153226d04ed5dce3aaa9703"
"2023-04-12 11:52:00","2023-04-12 11:52:38","0","100","37","1","2023-04-12 11:52:38","R_2qxzpSRDUttgIQX",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","1","4","6","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=628249f0c32418e0ba1572fe&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436ef83ddcd9f7fae9ffe7d","628249f0c32418e0ba1572fe"
"2023-04-12 11:52:28","2023-04-12 11:52:58","0","100","30","1","2023-04-12 11:52:59","R_30it4q3NYXUCFLR",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5f4a0168c53d365702393870&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efd7302dcf7e1b7ff7b5","5f4a0168c53d365702393870"
"2023-04-12 11:52:38","2023-04-12 11:53:16","0","100","37","1","2023-04-12 11:53:16","R_2X0NTlNmsYDuXWu",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5c0fa46ebeb54500011921dc&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efde77fe217ce8a4c25f","5c0fa46ebeb54500011921dc"
"2023-04-12 11:52:33","2023-04-12 11:53:16","0","100","43","1","2023-04-12 11:53:17","R_D6nV6mt13xHESFH",NA,NA,NA,NA,"anonymous","EN","2","2","1","4","4","4","6","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5d9ce1981ecfd60012ccca92&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efd6d057c2e2f2694847","5d9ce1981ecfd60012ccca92"
"2023-04-12 11:53:08","2023-04-12 11:53:41","0","100","32","1","2023-04-12 11:53:41","R_10oYWSwSVaW7SiM",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","4","4","2","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=546e3261fdf99b2bc7ebcfea&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436effd6b3f839cfc595605","546e3261fdf99b2bc7ebcfea"
"2023-04-12 11:52:59","2023-04-12 11:53:42","0","100","42","1","2023-04-12 11:53:42","R_29vpQoDmVhNNHos",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","2","2","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5eecdd6bdba8370929217093&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436eff0fe1ecbab67c334d0","5eecdd6bdba8370929217093"
"2023-04-12 11:52:58","2023-04-12 11:53:43","0","100","45","1","2023-04-12 11:53:44","R_AaIGP15Oj2yNJUB",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","3","5","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5d0fb996286e1700010de2c1&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efec82a296ad66d59631","5d0fb996286e1700010de2c1"
"2023-04-12 11:52:58","2023-04-12 11:53:52","0","100","53","1","2023-04-12 11:53:53","R_1Cy9iQpDEakyjYt",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","6","6","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5deaa726df55eb1cc1b9474f&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efefb866307b851e2e1e","5deaa726df55eb1cc1b9474f"
"2023-04-12 11:53:00","2023-04-12 11:54:00","0","100","60","1","2023-04-12 11:54:01","R_21Fcsgevxhj0qGd",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","4","6","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=629075a83e17794e104bb46b&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436eff154a3bd2977a4c1d9","629075a83e17794e104bb46b"
"2023-04-12 11:53:33","2023-04-12 11:54:17","0","100","44","1","2023-04-12 11:54:18","R_2V2cSdMQokns8rX",NA,NA,NA,NA,"anonymous","EN","2","2","1","4","5","7","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5aadbb1ee1546900019af242&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f01682a296ad66d59635","5aadbb1ee1546900019af242"
"2023-04-12 11:53:55","2023-04-12 11:54:31","0","100","36","1","2023-04-12 11:54:32","R_1DThg7DkbVVRSzr",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","4","4","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5f13b237c08bc13e4ef2e760&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f02c297cc743401f4e0f","5f13b237c08bc13e4ef2e760"
"2023-04-12 11:51:45","2023-04-12 11:54:55","0","100","190","1","2023-04-12 11:54:56","R_3oLyeQoMO0WhVdG",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","4","5","6","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=63e57af0f73c3e6a3e10bebd&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436efac0aea2581569cf089","63e57af0f73c3e6a3e10bebd"
"2023-04-12 11:54:30","2023-04-12 11:55:19","0","100","48","1","2023-04-12 11:55:19","R_sUxOUN2FlEmKqL7",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","3","6","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5b0739faa84dcf0001bef230&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f04ebdf322ecb130da64","5b0739faa84dcf0001bef230"
"2023-04-12 11:54:47","2023-04-12 11:55:22","0","100","34","1","2023-04-12 11:55:23","R_3kq9PoQRaFLTrKA",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","2","4","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5632e23b2840d2000522e9de&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f05f4164fec95d3b56ca","5632e23b2840d2000522e9de"
"2023-04-12 11:54:50","2023-04-12 11:55:24","0","100","33","1","2023-04-12 11:55:24","R_1KxR8fUg7jXHzRt",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","5","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=610765c6d41933eba28b45a9&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f065e3fc560d3e40021a","610765c6d41933eba28b45a9"
"2023-04-12 11:54:59","2023-04-12 11:55:32","0","100","33","1","2023-04-12 11:55:33","R_3kdCrpFTxT4Gzj7",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=607de1d7c7cc25b639f63026&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f06ffcd0756480bbd533","607de1d7c7cc25b639f63026"
"2023-04-12 11:55:09","2023-04-12 11:55:35","0","100","25","1","2023-04-12 11:55:35","R_ToyS1ddY7WftC9P",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","7","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=55cb7ae1fdf99b3c26ae4c6d&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f07760338b03befe8d5c","55cb7ae1fdf99b3c26ae4c6d"
"2023-04-12 11:55:14","2023-04-12 11:56:06","0","100","52","1","2023-04-12 11:56:07","R_3J7O1vHbMpepzBR",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","4","4","5","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5f6837758ab63d4814ea553f&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f07c943ba2adb85a4fdf","5f6837758ab63d4814ea553f"
"2023-04-12 11:55:15","2023-04-12 11:56:22","0","100","67","1","2023-04-12 11:56:23","R_0BCpl0Z3qAxem09",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","3","5","7","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=63d7aa4a4f19508a5401cc2a&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f07d6d4488cd63b17156","63d7aa4a4f19508a5401cc2a"
"2023-04-12 11:56:04","2023-04-12 11:56:30","0","100","25","1","2023-04-12 11:56:31","R_1EcYdXa2RuHThmD",NA,NA,NA,NA,"anonymous","EN","2","2","1","7","5","7","1","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=60fd115f00f1920bc06e5740&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f08aa5c28e92a029bcc4","60fd115f00f1920bc06e5740"
"2023-04-12 11:55:48","2023-04-12 11:56:38","0","100","49","1","2023-04-12 11:56:39","R_2WTKlhewq9AA8Fl",NA,NA,NA,NA,"anonymous","EN","2","2","1","5","4","4","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5686e598369319000b268e63&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f09f539507febfe713d4","5686e598369319000b268e63"
"2023-04-12 11:55:42","2023-04-12 11:56:38","0","100","56","1","2023-04-12 11:56:39","R_1pyfvD6KS5o5PGw",NA,NA,NA,NA,"anonymous","EN","2","2","1","6","5","5","4","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=615c777509f34c8977bc45a7&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f098f821c0fd0b7c7d66","615c777509f34c8977bc45a7"
"2023-04-12 11:55:41","2023-04-12 11:56:42","0","100","60","1","2023-04-12 11:56:43","R_12hTaM3OvRkEAxd",NA,NA,NA,NA,"anonymous","EN","2","2","1","4","5","5","3","https://hbs.qualtrics.com/jfe/form/SV_b8jvu6TNARbziLA?PROLIFIC_PID=5f1338a87447d0308e865fd0&STUDY_ID=6436d7120b1be7c867906b46&SESSION_ID=6436f0869225d4a13976409a","5f1338a87447d0308e865fd0"
